mutation_type,iterations,Output_Distance_ms_PyTorch,Output_Distance_PyTorch_ONNX,Output_Distance_ms_ONNX
NAI,80,"(9.849421e-06, 0.0034435086)","(0.004021352, 1.9692873)","(0.004026191, 1.9690921)"
NAI,85,"(1.0865137e-05, 0.005670397)","(0.0032585457, 1.1356398)","(0.0032630123, 1.1352942)"
NAI,90,"(1.0774905e-05, 0.00145089)","(0.0027806233, 0.52952844)","(0.0027838252, 0.52981013)"
NAI,95,"(1.8348184e-05, 0.0039581396)","(0.0054069343, 0.38517004)","(0.0054125846, 0.38526642)"
NAI,100,"(1.7796408e-05, 0.001154422)","(0.0054186555, 0.35519886)","(0.005423994, 0.35507423)"
AFRM,2,"(4.5026773e-05, 2.79612e-07)","(0.011603508, 0.0018521067)","(0.0115992585, 0.0018521172)"
AFRM,4,"(65.695946, 0.00070300116)","(22347.154, 0.5236556)","(22334.693, 0.52339244)"
AFRM,6,"(52732.426, 0.0014053335)","(26555810.0, 1.493268)","(26560620.0, 1.493538)"
AFRM,8,"(1233724400.0, 0.09876865)","(1014985060000.0, 62.51851)","(1014992400000.0, 62.583282)"
AFRM,10,"(1233724400.0, 0.027331132)","(1014985060000.0, 47.035023)","(1014992400000.0, 47.033695)"
AFRM,12,"(1233724400.0, 0.20620227)","(1014985060000.0, 520.7973)","(1014992400000.0, 520.8057)"
AFRM,14,"(1233724400.0, 0.20620227)","(1014985060000.0, 520.7973)","(1014992400000.0, 520.8057)"
AFRM,16,"(1233724400.0, 0.20620227)","(1014985060000.0, 520.7973)","(1014992400000.0, 520.8057)"
AFRM,18,"(1233724400.0, 0.20620227)","(1014985060000.0, 520.7973)","(1014992400000.0, 520.8057)"
AFRM,20,"(1233724400.0, 0.20620227)","(1014985060000.0, 520.7973)","(1014992400000.0, 520.8057)"
LD,5,"(8.455571e-06, 3.3119293e-06)","(0.005254093, 0.0005006181)","(0.005252859, 0.000500764)"
LD,10,"(8.277144e-06, 4.769134e-06)","(0.0052235737, 0.002883212)","(0.0052227103, 0.0028820783)"
LD,15,"(1.7067809e-05, 4.769134e-06)","(0.004499469, 0.002883212)","(0.0044994615, 0.0028820783)"
